City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Omboue,GA,2022-02-05 22:53:04,-1.5746,9.2618,77.0,87,44,7.0
106,Lagoa,PT,2022-02-05 22:53:10,39.05,-27.9833,58.91,75,15,17.13
107,Vilyuysk,RU,2022-02-05 22:55:21,63.7553,121.6247,-22.52,100,96,2.62
108,Christchurch,NZ,2022-02-05 22:55:07,-43.5333,172.6333,57.99,77,75,8.05
109,Ugoofaaru,MV,2022-02-05 22:55:21,5.6667,73.0,80.65,66,38,7.36
110,Magistralnyy,RU,2022-02-05 22:55:22,56.1725,107.4458,15.73,95,100,7.31
111,Sao Filipe,CV,2022-02-05 22:55:22,14.8961,-24.4956,72.91,73,0,11.59
112,Camana,PE,2022-02-05 22:55:22,-16.6228,-72.7111,71.94,76,16,5.17
113,Tuktoyaktuk,CA,2022-02-05 22:55:23,69.4541,-133.0374,-32.8,75,20,11.5
114,Tayabo,PH,2022-02-05 22:55:23,15.8342,121.0308,72.32,77,99,7.85
115,Yenagoa,NG,2022-02-05 22:46:23,4.9247,6.2642,78.4,82,1,4.54
116,Upernavik,GL,2022-02-05 22:51:40,72.7868,-56.1549,-3.28,99,100,4.12
117,Pisco,PE,2022-02-05 22:55:24,-13.7,-76.2167,72.01,83,0,8.05
118,Puerto Ayora,EC,2022-02-05 22:52:55,-0.7393,-90.3518,78.55,86,67,3.0
119,Mizdah,LY,2022-02-05 22:55:24,31.4451,12.9801,54.63,28,99,1.34
120,North Bend,US,2022-02-05 22:55:25,43.4065,-124.2243,60.24,80,0,9.22
121,Gambo,CF,2022-02-05 22:55:25,4.6482,22.2633,71.76,28,68,3.78
122,Kuusamo,FI,2022-02-05 22:55:25,65.9667,29.1833,17.64,86,100,11.5
123,Hermanus,ZA,2022-02-05 22:51:36,-34.4187,19.2345,68.81,84,23,13.82
124,Mayo,US,2022-02-05 22:55:26,38.8876,-76.5119,32.04,49,0,5.01
125,Erzin,TR,2022-02-05 22:55:26,36.9559,36.2,36.12,78,35,3.8
126,Darnah,LY,2022-02-05 22:47:18,32.767,22.6367,56.55,53,3,13.87
127,Coxim,BR,2022-02-05 22:55:27,-18.5067,-54.76,77.29,88,89,2.93
128,Geraldton,AU,2022-02-05 22:51:26,-28.7667,114.6,73.81,88,100,10.36
129,Vestmanna,FO,2022-02-05 22:46:39,62.1564,-7.1664,31.12,86,100,14.97
130,Clonakilty,IE,2022-02-05 22:55:29,51.6231,-8.8706,49.21,90,100,32.99
131,Burgeo,CA,2022-02-05 22:55:29,47.6167,-57.6152,26.22,89,100,11.9
132,Kavaratti,IN,2022-02-05 22:55:29,10.5669,72.642,77.97,63,14,8.34
133,Nakhon Phanom,TH,2022-02-05 22:55:30,17.3333,104.4167,58.98,73,96,3.04
134,Ambon,ID,2022-02-05 22:51:55,-3.6954,128.1814,77.14,94,40,4.61
135,Lages,BR,2022-02-05 22:55:30,-27.8161,-50.3261,64.53,99,100,1.59
136,Vaini,TO,2022-02-05 22:52:50,-21.2,-175.2,77.16,100,100,12.66
137,Kulu,TR,2022-02-05 22:55:31,39.0951,33.0799,19.83,92,16,1.3
138,Tuatapere,NZ,2022-02-05 22:53:36,-46.1333,167.6833,54.82,73,99,4.88
139,Xingcheng,CN,2022-02-05 22:55:31,40.6167,120.7167,8.01,80,0,6.02
140,Anadyr,RU,2022-02-05 22:52:13,64.75,177.4833,-5.3,71,0,4.47
141,Lufilufi,WS,2022-02-05 22:47:43,-13.8745,-171.5986,87.58,77,89,15.14
142,Berezovyy,RU,2022-02-05 22:55:32,51.6667,135.7,2.97,98,100,1.45
143,Zhigansk,RU,2022-02-05 22:46:31,66.7697,123.3711,-26.84,99,100,5.73
144,Indian Head,US,2022-02-05 22:55:32,38.6001,-77.1622,32.49,43,0,11.01
145,Coquimbo,CL,2022-02-05 22:52:49,-29.9533,-71.3436,65.93,77,75,11.5
146,Soure,BR,2022-02-05 22:55:33,-0.7167,-48.5233,78.03,86,100,10.11
147,Fushun,CN,2022-02-05 22:52:43,41.8558,123.9233,6.51,81,13,2.66
148,Nipawin,CA,2022-02-05 22:55:33,53.3668,-104.0009,-2.16,78,100,9.22
