City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,osmena,PH,10.5208,119.9258,80.94,77,100,21.83,overcast clouds
197,sabaudia,IT,41.3003,13.0282,51.76,77,70,5.12,broken clouds
198,warrington,GB,53.3925,-2.5802,47.12,87,75,8.01,broken clouds
199,vao,NC,-22.6667,167.4833,80.85,85,33,9.15,scattered clouds
200,ryotsu,JP,38.0833,138.4333,33.76,67,63,26.84,light snow
201,ixtapa,MX,20.7,-105.2,70.23,88,56,2.17,broken clouds
202,touros,BR,-5.1989,-35.4608,74.3,74,99,8.21,overcast clouds
203,kalevala,RU,65.2,31.1667,18.05,94,100,8.86,overcast clouds
204,batagay,RU,67.6333,134.6333,-40.58,99,90,1.66,overcast clouds
205,bilaspur,IN,22.0833,82.15,77.54,17,25,1.5,scattered clouds
206,ribeira brava,PT,32.65,-17.0667,65.12,55,41,15.12,scattered clouds
207,parit buntar,MY,5.1267,100.4932,89.94,63,41,9.51,scattered clouds
208,baglung,NP,28.2719,83.5898,59.85,48,6,6.42,clear sky
209,hambantota,LK,6.1241,81.1185,89.94,48,0,12.66,clear sky
210,ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,20.71,snow
211,hovd,MN,48.0056,91.6419,-3.96,84,11,3.98,few clouds
212,veraval,IN,20.9,70.3667,75.02,46,1,4.74,clear sky
213,henties bay,NA,-22.116,14.2845,66.85,79,70,3.71,broken clouds
214,alnashi,RU,56.1874,52.4792,23.56,95,97,4.9,overcast clouds
215,hawick,GB,55.4227,-2.7867,38.12,94,62,17.29,broken clouds
216,mount isa,AU,-20.7333,139.5,94.77,24,40,5.75,scattered clouds
217,kamaishi,JP,39.2667,141.8833,31.15,55,81,12.59,broken clouds
218,ishigaki,JP,24.3448,124.1572,60.93,82,75,19.57,broken clouds
219,kainantu,PG,-6.2887,145.8655,73.51,66,100,1.77,overcast clouds
220,zhigansk,RU,66.7697,123.3711,-24.54,99,92,5.39,overcast clouds
221,oktyabrskiy,RU,54.4815,53.471,22.98,89,100,2.13,light snow
222,necochea,AR,-38.5473,-58.7368,58.03,80,100,21.54,light rain
223,pietarsaari,FI,63.65,22.6833,26.73,90,22,13.98,few clouds
224,nara,JP,34.6851,135.8049,42.17,62,96,15.95,overcast clouds
225,tessalit,ML,20.1986,1.0114,57.34,18,9,9.71,clear sky
226,umm kaddadah,SD,13.6017,26.6876,58.17,26,56,23.02,broken clouds
227,smidovich,RU,48.6,133.8167,-1.12,93,80,4.54,broken clouds
228,surt,LY,31.2089,16.5887,58.51,40,90,9.53,overcast clouds
229,san luis,AR,-33.295,-66.3356,53.92,64,1,0.27,clear sky
230,nizwa,OM,22.9333,57.5333,77.47,24,0,5.84,clear sky
231,kieta,PG,-6.2167,155.6333,84.31,77,79,8.86,light rain
232,izumo,JP,35.3667,132.7667,37.29,60,75,17.27,broken clouds
233,raga,SS,8.4596,25.678,64.92,18,100,9.01,overcast clouds
234,kununurra,AU,-15.7667,128.7333,82.38,83,100,2.3,thunderstorm
235,westport,US,41.1415,-73.3579,19.98,61,0,1.01,clear sky
236,severnyy,RU,50.677,36.5532,28.44,93,75,8.95,broken clouds
237,thunder bay,CA,48.4001,-89.3168,13.98,82,100,6.91,overcast clouds
238,arica,CL,-18.475,-70.3042,67.84,83,11,1.45,few clouds
239,grindavik,IS,63.8424,-22.4338,30.67,80,40,24.16,scattered clouds
240,husavik,IS,66.0449,-17.3389,28.31,73,100,22.79,light snow
241,talas,TR,38.6908,35.5538,23.67,80,20,0.0,few clouds
242,wajid,SO,3.8093,43.2471,86.38,31,31,11.39,scattered clouds
243,ndago,TZ,-4.6,34.35,69.12,75,98,2.82,overcast clouds
244,roebourne,AU,-20.7833,117.1333,92.55,54,12,15.66,few clouds
245,sheopur,IN,25.6667,76.7,73.26,25,0,5.86,clear sky
246,narsaq,GL,60.9167,-46.05,-0.92,71,100,4.81,overcast clouds
247,xingtai,CN,37.0631,114.4942,41.92,24,100,3.58,overcast clouds
248,elwood,AU,-37.8817,144.983,84.79,33,0,4.0,clear sky
249,faya,SA,18.3851,42.4509,57.31,50,5,2.1,clear sky
250,codrington,AU,-38.2667,141.9667,74.86,49,100,20.0,overcast clouds
251,anadyr,RU,64.75,177.4833,-12.5,77,0,6.71,clear sky
252,mount gambier,AU,-37.8333,140.7667,85.91,25,100,14.97,overcast clouds
253,jibuti,DJ,11.5,42.5,81.82,53,33,3.89,scattered clouds
254,samarai,PG,-10.6167,150.6667,84.52,75,100,13.15,overcast clouds
255,olivenza,ES,38.6832,-7.103,45.21,83,0,6.11,clear sky
256,kathu,TH,7.9178,98.3332,93.61,69,57,6.31,broken clouds
257,laguna,US,38.421,-121.4238,52.95,81,0,0.0,clear sky
258,ujhani,IN,28.0167,79.0167,64.76,51,0,5.75,clear sky
259,leh,IN,34.1667,77.5833,12.43,87,100,2.28,overcast clouds
260,boda,CF,4.3189,17.4695,76.95,20,100,7.27,overcast clouds
261,padang,ID,-0.9492,100.3543,89.65,76,100,2.08,overcast clouds
262,tilichiki,RU,60.4667,166.1,-9.22,83,0,8.19,clear sky
263,shingu,JP,33.7333,135.9833,41.99,48,95,12.48,overcast clouds
264,sechura,PE,-5.5569,-80.8222,69.4,88,100,7.43,overcast clouds
265,great falls,US,47.5002,-111.3008,34.68,76,0,4.0,clear sky
266,giulianova,IT,42.7612,13.9537,46.0,85,2,3.6,clear sky
267,arcata,US,40.8665,-124.0828,45.79,93,0,3.44,clear sky
268,menongue,AO,-14.6585,17.691,59.81,96,100,8.43,light rain
269,kimbe,PG,-5.5502,150.1429,84.52,73,100,6.24,overcast clouds
270,miri,MY,4.4148,114.0089,87.94,66,40,6.91,scattered clouds
271,kahului,US,20.8947,-156.47,75.85,76,0,16.11,clear sky
272,keflavik,IS,64.0049,-22.5624,30.63,80,40,24.16,scattered clouds
273,lebu,CL,-37.6167,-73.65,56.52,92,3,13.76,clear sky
274,ostrovnoy,RU,68.0531,39.5131,12.06,82,100,29.01,overcast clouds
275,kasongo-lunda,CD,-6.4667,16.8167,73.96,90,57,0.38,broken clouds
276,aklavik,CA,68.2191,-135.0107,-26.57,95,100,14.07,overcast clouds
277,changping,CN,40.2186,116.2197,42.44,19,45,7.27,scattered clouds
278,kamen-rybolov,RU,44.7481,132.0403,12.49,71,100,7.25,overcast clouds
279,peque,CO,7.0212,-75.9093,62.22,96,65,1.45,broken clouds
280,newport,GB,51.5877,-2.9984,51.85,88,100,4.0,moderate rain
281,bambous virieux,MU,-20.3428,57.7575,84.45,74,75,16.11,light rain
282,bengkulu,ID,-3.8004,102.2655,81.84,69,100,10.87,overcast clouds
283,lamu,KE,-2.2717,40.902,80.82,67,100,7.83,overcast clouds
284,gambela,ET,8.25,34.5833,86.16,22,100,0.45,overcast clouds
285,lavrentiya,RU,65.5833,-171.0,-16.87,92,29,10.36,scattered clouds
286,riberalta,BO,-10.9833,-66.1,70.65,99,99,2.24,overcast clouds
287,hay river,CA,60.8156,-115.7999,-9.42,77,20,8.05,few clouds
288,kangaatsiaq,GL,68.3065,-53.4641,-4.16,93,100,2.19,overcast clouds
289,valparaiso,CL,-33.0393,-71.6273,65.48,70,0,3.44,clear sky
290,atambua,ID,-9.1061,124.8925,82.8,66,15,5.28,few clouds
291,aitape,PG,-3.1374,142.3475,83.14,76,100,8.63,overcast clouds
292,saint-augustin,CA,51.226,-58.6502,1.35,73,100,18.52,overcast clouds
293,alofi,NU,-19.0595,-169.9187,73.29,94,100,2.3,overcast clouds
294,altamira,BR,-3.2033,-52.2064,71.37,99,100,1.79,light rain
295,san patricio,US,28.017,-97.5169,42.66,79,2,0.49,clear sky
296,tumpat,MY,6.1978,102.171,86.05,70,20,11.5,few clouds
297,bonthe,SL,7.5264,-12.505,73.04,95,73,3.51,broken clouds
298,puerto del rosario,ES,28.5004,-13.8627,64.15,88,7,13.8,clear sky
299,aksarka,RU,66.5606,67.7975,-16.11,100,77,3.98,broken clouds
300,saint-joseph,RE,-21.3667,55.6167,84.58,73,100,14.85,overcast clouds
301,barcelos,PT,41.5388,-8.6151,46.92,76,37,4.92,scattered clouds
302,lompoc,US,34.6391,-120.4579,55.56,85,0,8.05,clear sky
303,ziarat,PK,30.3823,67.7282,40.78,44,33,5.06,scattered clouds
304,umea,SE,63.8284,20.2597,28.33,100,100,11.5,overcast clouds
305,camana,PE,-16.6228,-72.7111,69.64,83,46,4.5,scattered clouds
306,grand gaube,MU,-20.0064,57.6608,84.6,74,100,11.99,overcast clouds
307,sitka,US,57.0531,-135.33,44.49,76,100,18.41,moderate rain
308,carolina,PR,18.3808,-65.9574,71.92,90,75,8.05,light rain
309,takoradi,GH,4.8845,-1.7554,79.43,83,98,3.22,light rain
310,vuktyl,RU,63.8567,57.3094,11.16,85,14,5.21,few clouds
311,kurilsk,RU,45.2333,147.8833,22.48,88,100,15.77,light snow
312,assare,BR,-6.8744,-39.875,67.82,88,62,3.89,broken clouds
313,waipawa,NZ,-41.4122,175.5153,54.45,83,100,11.61,light rain
314,ugoofaaru,MV,5.6667,73.0,81.16,64,60,6.89,broken clouds
315,khorinsk,RU,52.1657,109.7726,15.37,87,100,6.98,overcast clouds
