City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,yarada,IN,82.72,haze,17.65,83.2667,Yarada Jungle Beach Resorts
407,sangre grande,TT,76.17,broken clouds,10.5835,-61.1177,Lotus drive
408,kapit,MY,85.78,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
410,port lincoln,AU,78.46,clear sky,-34.7333,135.8667,Port Lincoln Hotel
412,mahibadhoo,MV,81.86,few clouds,3.7833,72.9667,Omadhoo Inn
414,pak phanang,TH,89.62,overcast clouds,8.3511,100.202,Green Park Inn Hotel
415,kismayo,SO,82.6,overcast clouds,-0.3582,42.5454,Agan-Hotel
428,camocim,BR,75.76,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
430,antalaha,MG,86.72,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
432,kirakira,SB,83.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
435,namatanai,PG,83.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
442,mayumba,GA,77.32,broken clouds,-3.432,10.6554,LIKWALE LODGE
443,honiara,SB,83.88,broken clouds,-9.4333,159.95,Heritage Park Hotel
445,savanur,IN,83.25,clear sky,14.9667,75.35,Vishnu Vilas Hotel
455,dawei,MM,86.34,broken clouds,14.0833,98.2,Hotel Dawei
459,kresek,ID,89.56,broken clouds,-6.1314,106.3797,Kamar aldi
464,sibolga,ID,84.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
467,ambilobe,MG,83.5,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
468,siocon,PH,84.67,overcast clouds,7.7061,122.1353,ABS Hotel
469,auki,SB,82.0,broken clouds,-8.7676,160.7034,Auki Motel
473,gizo,SB,86.13,overcast clouds,-8.103,156.8419,Imagination Island
476,puerto ayacucho,VE,75.38,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
478,richards bay,ZA,76.93,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
483,labuhan,ID,83.16,overcast clouds,-6.8844,112.2051,DoubleFAG
485,prieska,ZA,78.89,few clouds,-29.6641,22.7474,Avenue GuestHouse
487,kabanjahe,ID,75.96,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
490,monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
